identifier,digital resource locator,contributing repository,title,date created (W3CDTF),"date created (human readable, for approximate dates)",creator,rights,language,subject,type,extent,spatial,description,publisher,isPartOf,full text available (y/n)?,local data 1,local data 2,local data 3
131516481,catalog.archives.gov/id/131516481,National Archives at Philadelphia,Correspondence Relating to the Employment of B. Chatterton,1861-07-29,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1866",Text,3,Philadelphia (Pa.),This file unit consists of recommendations for employment of B. Chatterton at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516482,catalog.archives.gov/id/131516482,National Archives at Philadelphia,Correspondence Relating to the Employment of Bridget Clark,1862-09-03,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1867",Text,2,Philadelphia (Pa.),This file unit consists of recommendations for employment of Bridget Clark at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516483,catalog.archives.gov/id/131516483,National Archives at Philadelphia,Correspondence Relating to the Employment of M.A. Foard,1861-09-11,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1868",Text,2,Philadelphia (Pa.),This file unit consists of recommendations for employment of M.A. Foard at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516484,catalog.archives.gov/id/131516484,National Archives at Philadelphia,Correspondence Relating to the Employment of Elizabeth Hazzard,1862-09-08,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1869",Text,2,Philadelphia (Pa.),This file unit consists of recommendations for employment of Elizabeth Hazzard at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516485,catalog.archives.gov/id/131516485,National Archives at Philadelphia,Correspondence Relating to the Employment of Kate Kilda,1862-08-28,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1870",Text,2,Philadelphia (Pa.),This file unit consists of recommendations for employment of Kate Kilda at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516486,catalog.archives.gov/id/131516486,National Archives at Philadelphia,Correspondence Relating to the Employment of Rebecca Robb,1862-12-06,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1871",Text,3,Philadelphia (Pa.),This file unit consists of recommendations for employment of Rebecca Robb at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516487,catalog.archives.gov/id/131516487,National Archives at Philadelphia,Correspondence Relating to the Employment of Eliza Schaffer,1862-08-27,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1872",Text,2,Philadelphia (Pa.),This file unit consists of recommendations for employment of Eliza Schaffer at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516488,catalog.archives.gov/id/131516488,National Archives at Philadelphia,Correspondence Relating to the Employment of Ellen Triggs,1862-10-09,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1873",Text,2,Philadelphia (Pa.),This file unit consists of recommendations for employment of Ellen Triggs at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516489,catalog.archives.gov/id/131516489,National Archives at Philadelphia,Correspondence Relating to the Employment of Ann Barker,1863-08-13,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1874",Text,2,Philadelphia (Pa.),This file unit consists of recommendations for employment of Ann Barker at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516490,catalog.archives.gov/id/131516490,National Archives at Philadelphia,Correspondence Relating to the Employment of Elizabeth Baggott,1863-08-12,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1875",Text,2,Philadelphia (Pa.),This file unit consists of recommendations for employment of Elizabeth Baggott at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516491,catalog.archives.gov/id/131516491,National Archives at Philadelphia,Correspondence Relating to the Employment of Sarah Baggott,1863-08-24,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1876",Text,3,Philadelphia (Pa.),This file unit consists of recommendations for employment of Sarah Baggott at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516492,catalog.archives.gov/id/131516492,National Archives at Philadelphia,Correspondence Relating to the Employment of Mary H. Baird,1863-09-02,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1877",Text,2,Philadelphia (Pa.),This file unit consists of recommendations for employment of Mary H. Baird at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516493,catalog.archives.gov/id/131516493,National Archives at Philadelphia,Correspondence Relating to the Employment of Penelope Baker,1863-08-27,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1878",Text,2,Philadelphia (Pa.),This file unit consists of recommendations for employment of Penelope Baker at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
131516494,catalog.archives.gov/id/131516494,National Archives at Philadelphia,Correspondence Relating to the Employment of Mary Ball,1863-08-08,,Schuylkill Arsenal,Public Domain,eng,"American Civil War, 1861-1879",Text,3,Philadelphia (Pa.),This file unit consists of recommendations for employment of Mary Ball at the Schuylkill Arsenal during the Civil War.,,"Recommendations for Employment at the Schuylkill Arsenal, 1861-1867",,,,
